CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG445480,09/30/2023 07:00:00 PM,091XX S BURNSIDE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,N,633,6,04A,1179771,1844315,41.728074176,-87.617054509,"(41.728074176, -87.617054509)"
JG444909,09/30/2023 09:15:00 AM,038XX S PRINCETON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,CHA APARTMENT,Y,Y,915,3,26,1174916,1879540,41.824844967,-87.633789553,"(41.824844967, -87.633789553)"
JG426353,09/15/2023 10:30:00 AM,024XX N KEELER AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2524,31,06,1147976,1915893,41.925161251,-87.731690486,"(41.925161251, -87.731690486)"
JG428237,09/15/2023 08:30:00 AM,014XX N CENTRAL PARK AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",STREET,N,N,2535,26,07,1152095,1909500,41.907537986,-87.716724153,"(41.907537986, -87.716724153)"
JG404676,08/31/2023 12:15:00 AM,004XX N WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,N,Y,1834,42,08B,1176592,1902931,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
JG405536,08/31/2023 02:08:00 PM,059XX N GLENWOOD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,SCHOOL - PUBLIC GROUNDS,N,N,2013,48,08A,1165910,1939379,41.989243623,-87.665119726,"(41.989243623, -87.665119726)"
JG405214,08/31/2023 11:26:00 AM,051XX S ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,923,14,08B,1156579,1870410,41.800181061,-87.701309252,"(41.800181061, -87.701309252)"
JG405042,08/31/2023 10:00:00 AM,080XX S EXCHANGE AVE,0820,THEFT,$500 AND UNDER,STREET,N,Y,422,7,06,1197222,1852411,41.749873967,-87.552860394,"(41.749873967, -87.552860394)"
JG406202,08/31/2023 11:36:00 PM,091XX S BURNSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,633,6,08B,1179771,1844315,41.728074176,-87.617054509,"(41.728074176, -87.617054509)"
JG405374,08/31/2023 06:00:00 AM,078XX S STONY ISLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,411,8,07,1188311,1853382,41.752755652,-87.585482637,"(41.752755652, -87.585482637)"
JG406593,08/31/2023 06:00:00 PM,005XX E WACKER DR,1320,CRIMINAL DAMAGE,TO VEHICLE,GOVERNMENT BUILDING / PROPERTY,N,N,114,42,14,1180998,1902569,41.887899839,-87.610765705,"(41.887899839, -87.610765705)"
JG405258,08/31/2023 12:28:00 PM,007XX W 100TH ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,Y,N,2232,21,18,1172926,1838544,41.712391299,-87.642298633,"(41.712391299, -87.642298633)"
JG424838,09/15/2023 07:00:00 AM,039XX W GRENSHAW ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1132,24,07,1150300,1894750,41.867097632,-87.723702988,"(41.867097632, -87.723702988)"
JG424744,09/15/2023 03:56:00 AM,075XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,411,8,14,1188234,1855158,41.757630995,-87.585708249,"(41.757630995, -87.585708249)"
JG425392,09/15/2023 03:22:00 PM,042XX S MICHIGAN AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,N,N,213,3,26,1177864,1876890,41.817506771,-87.623054656,"(41.817506771, -87.623054656)"
JG445236,09/30/2023 03:00:00 PM,009XX E 56TH ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,235,5,06,1183617,1868080,41.793199014,-87.602226144,"(41.793199014, -87.602226144)"
JG464752,10/15/2023 03:25:00 PM,103XX S WALLACE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2232,21,08B,1174128,1836390,41.706453854,-87.637960267,"(41.706453854, -87.637960267)"
JG523486,11/30/2023 02:00:00 PM,031XX W MARQUETTE RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,831,14,08B,1156439,1860025,41.771685949,-87.702102281,"(41.771685949, -87.702102281)"
JG406528,09/01/2023 09:43:00 AM,012XX S KARLOV AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1011,24,08A,1149246,1894056,41.865213688,-87.727590376,"(41.865213688, -87.727590376)"
JG450325,10/01/2023 12:00:00 AM,026XX N OAK PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2512,36,08B,1130641,1916728,41.927768687,-87.795369174,"(41.927768687, -87.795369174)"
JG465125,10/15/2023 08:50:00 PM,054XX S WENTWORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,225,20,06,1175887,1869033,41.795991039,-87.630542489,"(41.795991039, -87.630542489)"
JG465926,10/15/2023 10:00:00 PM,002XX W ONTARIO ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1831,42,06,1174494,1904440,41.89318177,-87.6345943,"(41.89318177, -87.6345943)"
JH157217,02/18/2024 05:30:00 PM,039XX S LA SALLE ST,0479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,N,N,213,3,04B,1176051,1879069,41.823527068,-87.629639751,"(41.823527068, -87.629639751)"
JG464751,10/15/2023 07:30:00 AM,023XX N LAMON AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,2522,31,03,1143351,1914947,41.922653121,-87.748708775,"(41.922653121, -87.748708775)"
JG464155,10/15/2023 02:42:00 AM,080XX S EXCHANGE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,Y,422,7,04A,1197222,1852411,41.749873967,-87.552860394,"(41.749873967, -87.552860394)"
JG464925,10/15/2023 05:55:00 PM,033XX W BELMONT AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1733,35,06,1153368,1921084,41.939300241,-87.711739358,"(41.939300241, -87.711739358)"
JG426176,09/16/2023 03:00:00 AM,028XX W PERSHING RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,921,12,08B,1158083,1878652,41.822767689,-87.695569281,"(41.822767689, -87.695569281)"
JG408110,09/02/2023 12:55:00 PM,035XX N HARLEM AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1632,38,04A,1127450,1922614,41.943974935,-87.806962321,"(41.943974935, -87.806962321)"
JG408087,09/02/2023 12:00:00 PM,024XX N NEWLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2512,36,14,1129678,1915519,41.924467566,-87.798935588,"(41.924467566, -87.798935588)"
JG426343,09/16/2023 01:30:00 AM,018XX N RUTHERFORD AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,2513,29,07,1131128,1911492,41.913392053,-87.793700675,"(41.913392053, -87.793700675)"
JG408030,09/02/2023 11:32:00 AM,072XX S PERRY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,731,6,14,1176650,1856982,41.76290467,-87.628106962,"(41.76290467, -87.628106962)"
JG409085,09/02/2023 03:00:00 PM,027XX W ARMITAGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1431,1,07,1157835,1913174,41.917504574,-87.695538097,"(41.917504574, -87.695538097)"
JG426837,09/16/2023 02:00:00 PM,0000X W LAKE ST,0870,THEFT,POCKET-PICKING,STREET,N,N,111,42,06,1176222,1901746,41.8857505,-87.628329355,"(41.8857505, -87.628329355)"
JG410010,09/02/2023 11:43:00 PM,065XX S KEATING AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,833,13,26,1145838,1860859,41.774181526,-87.74094157,"(41.774181526, -87.74094157)"
JG408544,09/02/2023 06:30:00 PM,081XX S HOUSTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,422,7,08B,1197905,1851485,41.747315928,-87.550388523,"(41.747315928, -87.550388523)"
